一|ひと-, ひと.つ, イチ|one, one radical (no.1)
寄|よ.る, -よ.り, キ|draw near, stop in
許|ゆる.す, もと, キョ|permit, approve
球|たま, キュウ|ball, sphere
救|すく.う, キュウ|salvation, save, help
険|けわ.しい, ケン|precipitous
現|あらわ.れる, あらわ.す, ゲン|present, existing
混|ま.じる, -ま.じり, コン|mix, blend, confuse
祭|まつ.る, まつ.り, サイ|ritual, offer prayers
細|ほそ.い, ほそ.る, サイ|dainty, get thin, taper
術|すべ, ジュツ|art, technique, skill
宿|やど, やど.る, シュク|inn, lodging
章|ショウ|badge, chapter
常|つね, とこ-, ジョウ|usual, ordinary, normal
情|なさ.け, ジョウ|feelings, emotion
植|う.える, う.わる, ショク|plant
順|ジュン|obey, order, turn, right
象|かたど.る, ショウ|elephant, pattern after
焼|や.く, や.き, ショウ|bake, burning
勝|か.つ, -が.ち, ショウ|victory, win, prevail
歯|よわい, は, シ|tooth, cog
最|もっと.も, つま, サイ|utmost, most, extreme
散|ち.る, ち.らす, サン|scatter, disperse, spend
港|みなと, コウ|harbor
検|しら.べる, ケン|examination, investigate
湖|みずうみ, コ|lake
期|キ|period, time, date, term
喜|よろこ.ぶ, よろこ.ばす, キ|rejoice
結|むす.ぶ, ゆ.う, ケツ|tie, bind, contract
景|ケイ|scenery, view
給|たま.う, たも.う, キュウ|salary, wage, gift
雲|くも, -ぐも, ウン|cloud
営|いとな.む, いとな.み, エイ|occupation, camp
温|あたた.か, あたた.かい, オン|warm
過|す.ぎる, -す.ぎる, カ|overdo, exceed
絵|カイ|picture, drawing
階|きざはし, カイ|storey, stair
覚|おぼ.える, さ.ます, カク|memorize, learn
貯|た.める, たくわ.える, チョ|savings, store, lay in
達|-たち, タツ|accomplished, reach
測|はか.る, ソク|fathom, plan, scheme
童|わらべ, ドウ|juvenile, child
等|ひと.しい, など, トウ|etc., and so forth
湯|ゆ, トウ|hot water, bath
登|のぼ.る, あ.がる, トウ|ascend, climb up
程|ほど, -ほど, テイ|extent, degree, law
絶|た.える, た.やす, ゼツ|discontinue, beyond
然|しか, しか.り, ゼン|sort of thing, so, if so
富|と.む, とみ, フ|wealth, enrich, abundant
復|また, フク|restore, return to
